DOCUMENTO,ORGANIZACION,FECHA,TIPOFACTURA,DESCRIPCION,PRODUCTO,PRODUCTODESCRIPCION,CENTRODECOSTO,CANTIDAD,PRECIO,IMPORTEMONPRINCIPAL,IMPORTEMONTRANSACCION,MONEDA,VENDEDOR,DESCUENTO
B-0003-00000001,Valeria Welponer,28-12-2020,Factura,,Teclado,,Ventas A1,2.0000,53719.0083,107438.0200,107438.0200,Pesos Argentinos,,0
A-0003-00000001,Manganello S.R.L,23-11-2020,Factura,,Televisor Led Samsung 32  Hd Con Soporte Y Control,,,2.0000,110000.0000,220000.0000,220000.0000,Pesos Argentinos,,0
B-0004-00000002,Horacio Aguirre,28-10-2020,Factura,,Televisor Led Samsung 32  Hd Con Soporte Y Control,,,1.0000,49586.7769,49586.7800,49586.7800,Pesos Argentinos,,0
A-0001-00000241,Amazon Group,30-09-2020,Factura,,Consultoría,,,1.0000,5000.0000,5000.0000,5000.0000,Pesos Argentinos,,0
C-0001-00000001,Algorte S.A.,30-09-2020,Factura,,Cable RGB para video,,,1.0000,150.0000,150.0000,150.0000,Pesos Argentinos,,0
B-0001-00000104,Consumidor Final,17-04-2020,Factura,,Cable RGB para video,,,10.0000,123.9669,1239.6700,1239.6700,Pesos Argentinos,,0
A-0001-00000240,Nicolasen y Asociados S.A.,27-03-2020,Factura,,Consultoria Digital,,Administración,12.0000,7400.0000,88800.0000,88800.0000,Pesos Argentinos,,0
A-0001-00000239,Manganello S.R.L,20-03-2020,Factura,,PC,,Ventas A2,8.0000,49505.0000,396040.0000,396040.0000,Pesos Argentinos,,0
A-0001-00000238,Nicolasen y Asociados S.A.,17-03-2020,Factura,,Monitores,,Ventas A1,15.0000,7850.0000,117750.0000,117750.0000,Pesos Argentinos,,0
A-0001-00000237,Horizonte S.A.,03-03-2020,Factura,,Insumos oficina,,Ventas A1,10.0000,7252.3000,72523.0000,72523.0000,Pesos Argentinos,,0
A-0001-00000236,Manganello S.R.L,29-02-2020,Factura,,Consultoria Web,,Administración,10.0000,5890.0000,58900.0000,58900.0000,Pesos Argentinos,,0
A-0001-00000235,Ignition S.A.C.I,13-02-2020,Factura,,Insumos oficina,,Ventas A2,25.0000,6100.0000,152500.0000,152500.0000,Pesos Argentinos,,0
A-0001-00000234,Horizonte S.A.,06-02-2020,Factura,,Mercaderia de Reventa,,Ventas A1,30.0000,15230.0000,456900.0000,456900.0000,Pesos Argentinos,,0
B-0001-00000103,Horacio Aguirre,17-01-2020,Factura,,Consultoria Digital,,Administración,10.0000,6300.0000,63000.0000,63000.0000,Pesos Argentinos,,0
A-0001-00000233,Hernandez S.A.,08-01-2020,Factura,,Mercaderia de Reventa,,Ventas A2,45.0000,10500.0000,472500.0000,472500.0000,Pesos Argentinos,,0
A-0001-00000232,Campomas S.A.,03-01-2020,Factura,,Teclado,,Ventas A1,30.0000,3330.0000,99900.0000,99900.0000,Pesos Argentinos,,0
